dataset,horizon,physical_minutes,outer_fold,model_seed,model,target_units,mae,rmse,n_fit,n_calibration,n_test,selected_candidate,final_epochs,model_phase_seconds,coverage90,mpiw90,winkler90,rank90,q90,coverage95,mpiw95,winkler95,rank95,q95
rico,5,5,2,42,persistence,degrees C,0.07447077772664519,0.12451008457023498,12932,4452,8692,0,,0.008372099997359328,0.9282098481362172,0.3999999999999986,0.6013345605154169,4008,0.1999999999999993,0.9723884031293143,0.6000000000000014,0.7808559595029918,4231,0.3000000000000007
rico,5,5,2,42,xgboost,degrees C,0.24349519415380105,0.41148572415493,12932,4452,8692,1,,5.760316800005967,0.5679935572940635,0.3424011230468764,2.866583804759457,4008,0.1712005615234382,0.7346985734008283,0.5625030517578153,4.1114770709343516,4231,0.28125152587890767
rico,5,5,2,42,attention_lstm,degrees C,2.2230605132449237,2.702293397046354,12932,4452,8692,1,18.0,157.73141079999914,0.16682006442705938,1.361872863769534,33.32642641677539,4008,0.680936431884767,0.18810400368154626,1.5061462402343722,63.06255947732726,4231,0.7530731201171861
bdg2,1,60,2,42,persistence,kWh per hour,20.987969087759815,41.67140770234165,51664,17370,34640,0,,0.027411199997004587,0.894919168591224,115.80600000000072,207.41386443418008,15634,57.90300000000036,0.9467667436489607,165.40000000000003,273.690915473441,16503,82.69999999999999
bdg2,1,60,2,42,xgboost,kWh per hour,17.75433961896247,34.95834656737017,51664,17370,34640,1,,10.036602599997423,0.9037528868360277,93.5879851074219,172.1690876859106,15634,46.79399255371095,0.9478348729792148,135.84407348632817,232.59199136116771,16503,67.92203674316406
bdg2,1,60,2,42,attention_lstm,kWh per hour,19.208323272641653,36.034969313698255,51664,17370,34640,0,29.0,1529.5040139999983,0.9025692840646651,98.60187109374942,176.57696628155787,15634,49.30093554687471,0.9496247113163973,141.03879687500006,236.97746255500203,16503,70.5193984375
pleia,1,10,0,42,persistence,degrees C,0.20377510850913494,0.3274649132433441,29719,9907,9907,0,,0.009911500001180684,0.9204602806096699,1.0,1.5598061976380337,8918,0.5,0.9596245079236904,1.3999999999999984,1.9842333703442006,9413,0.6999999999999993
pleia,1,10,0,42,xgboost,degrees C,0.2445261592639736,0.353309709615502,29719,9907,9907,0,,5.845305399998324,0.8871504996467144,0.995648193359372,1.6334668737927278,8918,0.4978240966796861,0.9363076612496215,1.271244812011716,2.076633822016679,9413,0.635622406005858
pleia,1,10,0,42,attention_lstm,degrees C,0.3610993958751694,0.48662172202262477,29719,9907,9907,0,20.0,336.1879708000015,0.8724134450388614,1.3804168701171875,2.17718302860647,8918,0.6902084350585938,0.9227818714040578,1.668119812011717,2.6856906025660225,9413,0.8340599060058587
pleia,3,30,0,42,persistence,degrees C,0.3773493489451903,0.6099061114818022,29715,9906,9907,0,,0.010209099997155135,0.892702129807207,1.6000000000000016,2.9449076410618753,8917,0.8000000000000007,0.9417583526799232,2.200000000000003,3.825517310992226,9412,1.1000000000000014
pleia,3,30,0,42,xgboost,degrees C,0.5612760152419208,0.7298684172914721,29715,9906,9907,0,,5.634387500002049,0.765721207227213,1.5938430786132753,3.4326886047012195,8917,0.7969215393066378,0.8802866659937418,2.0759643554687486,4.1207628417426605,9412,1.0379821777343743
pleia,3,30,0,42,attention_lstm,degrees C,0.6531397834824808,0.8792127260205383,29715,9906,9907,0,14.0,310.8912348,0.8210356313717574,2.101978302001953,4.057245998242025,8917,1.0509891510009766,0.8970424952054104,2.6310157775878906,5.088480114130626,9412,1.3155078887939453
pleia,6,60,0,42,persistence,degrees C,0.5481174926819421,0.8776005350395164,29710,9904,9907,0,,0.009756000000152198,0.8939133945694964,2.3999999999999986,4.21992530533966,8915,1.1999999999999993,0.9402442717270617,3.1999999999999957,5.547431109316643,9410,1.5999999999999979
pleia,6,60,0,42,xgboost,degrees C,0.758970369165909,0.9858096215899382,29710,9904,9907,0,,6.529023500000108,0.7753103865953366,2.269615936279294,4.437111560624776,8915,1.134807968139647,0.8819016856767942,2.7935714721679688,5.371068596178097,9410,1.3967857360839844
pleia,6,60,0,42,attention_lstm,degrees C,1.246394193931727,1.5676521183221808,29710,9904,9907,1,11.0,217.2380778999999,0.7191884526092662,3.29086532592774,7.819547741644378,8915,1.64543266296387,0.8073079640658121,3.9118721008300814,10.048865994197067,9410,1.9559360504150405
pleia_energy,1,10,0,42,persistence,kWh per 10 minutes,0.14425096503178927,3.4973458927613192,29719,9907,9909,0,,0.009978700007195584,0.9570087798970632,1.015625,2.194871770612574,8918,0.5078125,0.9754768392370572,1.234375,3.452844320819455,9413,0.6171875
pleia_energy,1,10,0,42,xgboost,kWh per 10 minutes,0.10136274642733323,2.474090309353983,29719,9907,9909,0,,5.926783800008707,0.9597335755373902,0.7051993012428284,1.3825880121524283,8918,0.3525996506214142,0.9789080633767282,0.9261906147003174,2.149957266467672,9413,0.4630953073501587
pleia_energy,1,10,0,42,attention_lstm,kWh per 10 minutes,0.10133807272401704,2.475524998093707,29719,9907,9909,0,12.0,420.5998962000158,0.9616510243213241,0.7234830856323242,1.383633936681015,8918,0.3617415428161621,0.9819356140882026,0.9758375883102417,2.1609889997316176,9413,0.48791879415512085
